               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.028213,            0.011118,                   0,             0.81329,             0.82237,             0.87393,             0.59163,           0.0070143,          0.00055357,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.027811,            0.011042,                   0,             0.87074,             0.84201,             0.88003,             0.59284,           0.0071271,          0.00045789,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.028031,            0.011266,                   0,             0.86518,             0.84439,             0.87171,             0.59771,           0.0071101,          0.00042944,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.027517,            0.010901,                   0,             0.84997,             0.85725,             0.86797,             0.57048,           0.0073508,          0.00051746,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.027388,            0.010955,                   0,             0.85928,             0.86842,              0.8664,              0.5843,           0.0071436,          0.00051263,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.027369,            0.010788,                   0,             0.86026,             0.80921,             0.86391,             0.56492,           0.0074086,          0.00049576,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.027273,            0.010619,                   0,             0.85724,             0.80921,             0.85655,             0.57422,           0.0072726,          0.00051493,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.026816,            0.010947,                   0,              0.8552,             0.81579,             0.86562,             0.58578,           0.0069651,          0.00057438,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.027095,            0.010601,                   0,             0.84964,             0.84868,             0.88313,             0.58656,           0.0072421,          0.00049262,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.026846,            0.010324,                   0,             0.85455,             0.81579,             0.87305,             0.59697,           0.0069097,          0.00047971,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.026852,            0.010626,                   0,             0.83015,             0.84211,             0.86516,             0.58294,           0.0070858,          0.00045173,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.02625,            0.010232,                   0,             0.81494,             0.86914,             0.87087,             0.59207,           0.0070326,          0.00048897,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.026284,            0.010161,                   0,             0.84188,             0.84067,             0.86742,             0.58106,           0.0071083,           0.0004885,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.025858,            0.010179,                   0,             0.82049,             0.90212,             0.88921,             0.58779,           0.0070648,          0.00045005,                   0,            0.003664,            0.003664,            0.003664
